Беньямин		экран, поднимающий отраженный свет от юд Зеир-Анпина.
Вав		шестая буква ивритского алфавита, числовое значение 6.
ВА"К вэ некуда клипот дэ Ацилут		до грехопадения Первого Человека, после поднятия всех миров в Ацилут, нечистые силы (клипот) находились в 14-ти сфиротах отдела клипот (мадор аклипот). И не имели парцуф, а только ВА"К Зеир-Анпина клипот и точка от нуквы клипот - ВА"К вэ некуда.
Гимел		третья буква ивритского алфавита, числовое значение 3.
Гвуль	граница	экран данной ступени.
Гаг	крыша	кетер каждой ступени.
Гадоль	большой	раскрытие света хохма. Недостаток света хохма делает парцуф маленьким (катан).
Гадлут	большое состояние	ор хохма ступени.
Гуф	тело	место получения света в ступени. Благодаря облачению отраженного света (О"Х) на прямой (О"Я) свет в рош, затем происходит распространение обоих светов в само желание, и это получение в действии образует гуф парцуфа.
Гзар	приговор, постановление	отделение малхут от келим, упавших в миры БЕ"А, от которого зависит все исправление.
Гидин	жилы	кли бина в 10 сфирот одного уровня.
Гальгалим	колеса	сфирот игулим (кругов), т.к. света, наполняющие их, округляются, потому что нет там ни авиют, ни осветления.
Гальгальта		парцуф Кетер, в его кли облачается ор хохма.
Ган Эден	Райский сад	малхут мира Ацилут. Эден - это хохма, Ган - это малхут. Поскольку весь мир Ацилут - это хохма, малхут мира Ацилут называется "Ган Эден".
Ган Эден Высший		в мире Брия, являющимся биной.
Ган Эден Нижний		есод малхут в мире Асия.
ГА"Р	три первых	света рош (головы), предшествующие келим. Сфирот кетер, хохма, бина, называемые "рош парцуфа".
ГА"Р гуфа	три первых сфиры тела	сфирот хесед, гвура, тиферет.
Гашмиют	материальность	все, что представляется и ощущается пятью органами чувств, или то, что определяется местом и временем.
Далет		четвертая буква ивритского алфавита, числовое значение 4.
Далет цурот	четыре формы	авиют, или желание в творении называется его материалом. Четыре уровня в авиюте называются "далет цурот".
Далет есодот	четыре основы	четыре свойства авиюта кли малхут.
Двекут	слияние	сходство свойств между двумя духовными объектами.
Дадим	соски	посредник между высшим и низшим, когда высший влияет на нижнего даже тогда, когда нижний еще не может подняться к высшему.
Дадей бехема	соски животного	свечение малхут без подслащения светом хасадим, нижняя треть сфирот нецах и ход парцуфа Атик, стоящих в мире Брия.
Дормита	сон	когда парцуф поднимается к высшему в виде МА"Н, исчезают из него все света и считается, что сам парцуф находится внизу и обладает светом только для поддержания жизни, что считается состоянием "сон".
Дибур	речь	10 сфирот света, проходящих через малхут головы, называемой "пэ" (рот), в тох (тело). Внутренний парцуф нуквы называется "дибур" речь. Если он исчезает и она остается только с внешним парцуфом, тогда называется "элем" (немой), потому что внутренний парцуф - это ГА"Р, а внешний - ВА"К.
Дам	кровь	авиют малхут, над которой властвует Ц"А, не позволяющий получить в него свет. От этого малхут "кровоточит", желает получить свет, поэтому называется "кровь". Когда этот авиют относится к НеХ"И, тогда называется "дам бэ макор" (кровь в источнике), над которым распространяется запрет получения. Однако, когда эта авиют поднимается в ХаГа"Т, не на свое место, там происходит ее подслащение и превращается в "молоко".
Дам митапэх ле халав		См. Дам.
Дам лида	кровь родов	когда поднимается МА"Н Зеир-Анпина в АВИ, поднимаются с ним МА"Н Зеир-Анпина и МА"Н всех парцуфим, которые выйдут из З"А в будущем, до последнего парцуфа мира Асия. В течение месяцев зарождения (беременности), (ибур), происходит очищение только МА"Н Зеир-Анпина, и на этот МА"Н рождаются его парцуфей ибур, а после этого происходит его рождение. Во время рождения каждый МА"Н, не относящийся к З"А выходит наружу в виде дам лида. Кровь родов также называется "нечистой кровью". когда поднимается МА"Н Зеир-Анпина в АВИ, поднимаются с ним МА"Н Зеир-Анпина и МА"Н всех парцуфим, которые выйдут из З"А в будущем, до последнего парцуфа мира Асия. В течение месяцев зарождения (беременности), (ибур), происходит очищение только МА"Н Зеир-Анпина, и на этот МА"Н рождаютсяего парцуфей ибур, а после этого происходит его рождение. Во время рождения каждый МА"Н, не относящийся к З"А выходит наружу в виде дам лида. Кровь родов также называется "нечистой кровью".
Дам тамэ	нечистая кровь	кровь родов.
Дмут	образ	Буквы юд, хей, вав имени АВА"Я - это "целем", а последняя хей имени АВА"Я - это дмут.
Дерех цар	узкая дорога	ограниченное в хасадим получение света.
Дофэн	стенка	авиют экрана есть кли получения света. Называется "дофен кли", потому что каждое кли - это только его стенки (дфанот). Четыре степени авиют - это четыре клипот (стенки, стороны) в толщине дофэн, одевающиеся одна на другую во внутреннюю часть и наружную. Более грубое свойство в дофэн кли притягивает больше света и считается внутренней частью кли, т.е. бхина далет более внутренняя относительно бхины гимел, а бхина гимел более внутренняя относительно бхины бет и т.д.
Еникат клипот	присасывание нечистых сил	материал клипот - абсолютное зло, и они совершенно не могут получить свет. Но при разбиении келим упали отдающие келим Г"Э в нечистые силы АХА"П и стали для них душой и жизнью.
Еш		наличие света хохма называется "есть". Исчезновение света хохма называется "эйн", нет.
Ециа ле хуц	выход наружу	изменение свойств. Изменение свойств, возникающее в части парцуфа, приводит к тому, что эта часть выходит наружу из парцуфа в новые самостоятельные владения. Но в первом парцуфе при этом не происходит никаких изменений.
Ециат ор дерех эйнаим	выход света из глаз	когда малхут поднимается в зрачки глаз (никвей эйнаим, Н"Э) и производит зивуг, свет от этого зивуга светит через зрачки глаз, а не изо рта.
Ёцер		распространение света в миры, включающее в себя все, кроме желания получить.
Ехида		свет, облаченный в сфират кетер.
Ехид	Единый	Высший свет, приводящий все ступени к единству свойств. Миюхад - означает, что в конце исправления все становится единым.
Ерида	опускание (со ступени)	при вторичном распространении, когда приходит свет хохма и облачается в кли кетер. Получается , что ступень кетер спустилась на ступень хохма, хохма на бина и т.д.
Ерида ле клипот	опускание в нечистые силы	вследствие МА"Н, поднимаемый душами в ЗО"Н, ЗО"Н поднимаются в парцуф АВ"И для получения нового света. А если души портят свои действия (качества), то ЗО"Н теряет свет хохма, т.к. свет в ЗО"Н приходит только благодаря МА"Н душ, когда поднимаются келим из миров БЕ"А, проверяются и облачаются в ЗО"Н. Но если МА"Н исчезает, то и свет уходит и ЗО"Н возвращаются на свое место. А келим НеХ"И Зеир Анпина и 9 низших сфирот нуквы, которые поднялись в БЕ"А и облачились в ЗО"Н, спускаются (падают) в клипот.
Заин		седьмая буква ивритского алфавита, числовое значение 7.
Зеир-Анпин		переводится как "маленькое лицо", т.к. основа З"А - это свет хасадим и немного света хохма. Свет хохма называется "лицо", поэтому кетер называется "Арих-Анпин", т.е. "большое лицо", потому что наполнен светом хохма.
Зивуг акаа	ударное соитие	действие экрана по отталкиванию, отторжению света от бхины далет и возвращению его к корню, источнику. В этом явлении есть два противоположных действия: отталкивание света с последующим взаимодействием с ним, приводящее к получению света в кли, потому что свет, отброшенный от бхины далет, превращается в отраженный свет, т.е. в кли, облачающее и раскрывающее свет в парцуфе.
Зивуг пними шель Ацилут	внутренний зивуг в мире Ацилут	внутренние келим мира Ацилут - это КаХа"Б, называемые "моха" (мозг), "ацамот" (кости), "гидин" (жилы), наполненные светами: нефеш, руах, нешама. Света хая и ехида, не имеющие своих келим, облачаются в свет нешама. Потому что келим З"А и малхут, в которые должны облачаться света хая и ехида, отделились от парцуфа, а вместо них используются до гмар тикун иные З"А и малхут, называемые, соответственно, "басар" (мясо) и "ор" (кожа). Они не являются настоящими, законченными келим, а только одевающими тело снаружи. Света, наполняющие их, руах и нефеш, они получают от внутренних келим. Поэтому есть света руах и нефеш во внутренних и келим и света руах и нефеш в наружных келим. От зивуга внутренних келим рождаются души людей, от зивуга наружных келим рождаются души ангелов. Поэтому души людей считаются внутренними, т.к. рождаются от внутренних келим парцуфа. Ангелы же считаются наружными, т.к. рождаются от внешних келим парцуфа.
Зивуг шель нешикин	сочетание поцелуем	зивуг, исходящий от головы парцуфа СА"Г к голове парцуфа Некудим, исправляющий ГА"Р парцуфа Некудим, но не распространяющийся в тело парцуфа Некудим. Также называется "духовное сочетание".
Зивуг рухани		зивуг, исходящий от головы парцуфа СА"Г к голове парцуфа Некудим, исправляющий ГА"Р парцуфа Некудим, но не распространяющийся в тело парцуфа Некудим. Также называется "сочетание поцелуем".
Зивуг рухани		зивуг, притягивающий свет в тело парцуфа Некудим посредством есод мира А"К.
Зивуг шель есодот	сочетание телами ("половое")	исправляет ЗА"Т семь нижних сфирот парцуфа, также называется "нижний зивуг", "зивуг телесный".
Зивуг гуфани	зивуг телесный	сочетание Аба и Има ради передачи света душам - ЗО"Н.
